 Gender, Age, Height (cm), Weight (kg), Occupation, Education Level, Marital Status, Income (USD), Favorite Color,
 male,32,175,70, Software Engineer, Master's Degree, Married,75000, Blue,
 male,25,182,85, Sales Representative, Bachelor's Degree, Single,45000, Green,
 female,41,160,62, Doctor, Doctorate Degree, Married,120000, Purple,
 male,38,178,79, Lawyer, Bachelor's Degree, Single,90000, Red,
 female,29,165,58, Graphic Designer, Associate's Degree, Single,35000, Yellow,
 male,45,190,92, Business Consultant, Master's Degree, Divorced,110000, Black,
 female,27,163,55, Marketing Specialist, Bachelor's Degree, Single,50000, Pink,
 male,52,179,83, CEO, Doctorate Degree, Married,500000, Blue,
 female,31,168,61, Project Manager, Bachelor's Degree, Married,80000, Green,
 male,36,177,76, Engineer, Master's Degree, Married,95000, Orange,
 female,24,162,53, Accountant, Bachelor's Degree, Single,40000, Blue,
 male,44,183,87, Architect, Bachelor's Degree, Widowed,120000, Grey,
 female,28,166,60, Nurse, Associate's Degree, Married,55000, Purple,
 male,29,181,84, Analyst, Bachelor's Degree, Single,60000, Red,
 female,33,170,65, Teacher, Master's Degree, Married,65000, Yellow,
 male,37,176,78, IT Manager, Bachelor's Degree, Married,85000, Green,
 female,26,169,59, Writer, Bachelor's Degree, Single,30000, Pink,
 male,28,182,75, Engineer, Bachelor's Degree, Married,80000, Blue,
 male,33,178,82, Teacher, Master's Degree, Single,45000, Green,
 female,44,160,58, Doctor, Doctorate Degree, Married,150000, Purple,
 male,29,176,74, Sales Representative, Bachelor's Degree, Single,55000, Red,
 female,31,165,63, Marketing Specialist, Bachelor's Degree, Single,50000, Yellow,
 male,40,187,90, Business Analyst, Master's Degree, Divorced,120000, Black,
 female,27,163,56, Project Manager, Bachelor's Degree, Single,60000, Pink,
 male,47,181,85, CEO, Doctorate Degree, Married,500000, Blue,
 female,35,170,65, Graphic Designer, Associate's Degree, Married,70000, Green,
 male,42,175,80, Architect, Bachelor's Degree, Married,100000, Orange,
 female,26,160,53, Accountant, Bachelor's Degree, Single,40000, Blue,
 male,49,183,92, Lawyer, Bachelor's Degree, Widowed,150000, Grey,
 female,30,168,61, Nurse, Associate's Degree, Married,60000, Purple,
 male,35,181,84, Analyst, Bachelor's Degree, Single,70000, Red,
 female,38,172,68, Teacher, Master's Degree, Married,75000, Yellow,
 male,31,175,78, IT Manager, Bachelor's Degree, Married,90000, Green,
 female,29,166,59, Writer, Bachelor's Degree, Single,35000, Pink,
 male,32,175,78, Engineer, Master's Degree, Married,90000, Blue,
 female,27,168,61, Marketing Specialist, Bachelor's Degree, Single,55000, Pink,
 male,41,180,85, Business Analyst, Bachelor's Degree, Divorced,110000, Green,
 female,36,163,57, Graphic Designer, Associate's Degree, Married,65000, Purple,
 male,29,183,81, Sales Representative, Bachelor's Degree, Single,50000, Black,
 female,33,170,65, Doctor, Doctorate Degree, Married,130000, Red,
 male,45,187,92, CEO, Doctorate Degree, Married,500000, Yellow,
 female,28,160,50, Writer, Bachelor's Degree, Single,40000, Grey,
 male,39,179,83, IT Manager, Bachelor's Degree, Married,95000, Orange,
 female,32,165,58, Accountant, Bachelor's Degree, Single,60000, Blue,
 male,44,183,90, Lawyer, Master's Degree, Married,180000, Pink,
 female,26,162,54, Teacher, Bachelor's Degree, Single,35000, Green,
 male,36,176,76, Analyst, Bachelor's Degree, Divorced,75000, Purple,
 female,29,167,63, Project Manager, Master's Degree, Single,55000, Red,
 male,42,181,87, Architect, Bachelor's Degree, Married,120000, Yellow,
 female,30,169,62, Nurse, Associate's Degree, Married,60000, Black,
 male,34,177,79, Teacher, Bachelor's Degree, Single,60000, Grey,
male,35,178,80,Engineer,Master's Degree,Single,90000,Blue,
female,28,165,60,Teacher,Bachelor's Degree,Married,55000,Green,
male,42,185,90,Doctor,Doctorate Degree,Married,120000,Red,
female,31,163,55,Graphic Designer,Associate's Degree,Single,65000,Orange,
male,30,182,83,IT Manager,Bachelor's Degree,Single,95000,Purple,
female,36,170,65,Sales Representative,Bachelor's Degree,Married,75000,Yellow,
male,44,188,92,Lawyer,Master's Degree,Divorced,150000,Black,
female,29,167,60,Marketing Specialist,Bachelor's Degree,Single,60000,Grey,
male,37,179,81,Project Manager,Bachelor's Degree,Married,85000,Pink,
female,26,162,55,Writer,Bachelor's Degree,Single,40000,Blue,
male,43,183,85,Architect,Bachelor's Degree,Married,110000,Green,
female,34,168,63,Nurse,Associate's Degree,Married,65000,Red,
male,36,174,75,Business Analyst,Bachelor's Degree,Married,95000,Purple,
female,27,166,56,Accountant,Bachelor's Degree,Single,55000,Yellow,
male,41,180,86,CEO,Doctorate Degree,Married,250000,Orange,
female,30,170,62,Teacher,Bachelor's Degree,Single,60000,Blue,
male,38,175,77,Analyst,Bachelor's Degree,Married,80000,Green,
female,29,164,56,Doctor,Doctorate Degree,Single,120000,Red,
male,40,182,88,Engineer,Master's Degree,Married,100000,Purple,
female,33,169,63,Marketing Specialist,Bachelor's Degree,Married,70000,Yellow,
male,39,181,82,IT Manager,Bachelor's Degree,Single,90000,Black,
female,32,168,60,Writer,Bachelor's Degree,Single,45000,Grey,
male,45,186,94,Lawyer,Master's Degree,Married,150000,Blue,
female,28,163,53,Graphic Designer,Associate's Degree,Single,55000,Green,
male,34,177,80,Sales Representative,Bachelor's Degree,Single,50000,Red,
female,31,166,58,Teacher,Bachelor's Degree,Married,65000,Orange,
male,42,184,87,Architect,Bachelor's Degree,Married,130000,Purple,
female,30,170,64,Nurse,Associate's Degree,Single,55000,Yellow,
male,37,179,79,Project Manager,Bachelor's Degree,Married,95000,Black,
male,37,175,76,Engineer,Bachelor's Degree,Married,80000,Blue,
female,27,160,54,Teacher,Bachelor's Degree,Single,45000,Purple,
male,44,182,88,Doctor,Doctorate Degree,Married,120000,Green,
female,32,168,63,Graphic Designer,Associate's Degree,Single,60000,Yellow,
male,39,178,81,IT Manager,Bachelor's Degree,Married,100000,Orange,
female,29,165,57,Marketing Specialist,Bachelor's Degree,Single,65000,Red,
male,43,183,85,Lawyer,Master's Degree,Married,150000,Purple,
female,31,170,63,Nurse,Associate's Degree,Single,55000,Grey,
male,38,176,79,Project Manager,Bachelor's Degree,Married,90000,Black,
female,28,162,55,Writer,Bachelor's Degree,Single,50000,Green,
male,41,181,86,Architect,Bachelor's Degree,Married,110000,Blue,
female,33,170,64,Accountant,Bachelor's Degree,Single,70000,Red,
male,36,179,78,Business Analyst,Bachelor's Degree,Married,85000,Orange,
female,30,163,58,Teacher,Bachelor's Degree,Single,55000,Yellow,
male,42,184,90,CEO,Doctorate Degree,Married,250000,Purple,
female,34,168,62,Marketing Specialist,Bachelor's Degree,Single,75000,Green,
male,35,177,80,Analyst,Bachelor's Degree,Married,70000,Blue,
female,29,166,58,Doctor,Doctorate Degree,Single,120000,Red,
male,40,183,88,Engineer,Master's Degree,Married,100000,Black,
female,31,167,60,Writer,Bachelor's Degree,Single,45000,Orange,
male,43,185,84,Lawyer,Master's Degree,Married,130000,Purple,
female,32,168,63,Nurse,Associate's Degree,Single,60000,Yellow,
male,37,179,80,Project Manager,Bachelor's Degree,Married,90000,Green,
female,28,163,56,Graphic Designer,Associate's Degree,Single,55000,Blue,
male,34,176,78,Sales Representative,Bachelor's Degree,Married,80000,Grey,
male,32,178,78,Engineer,Bachelor's Degree,Married,75000,Blue,
female,27,162,56,Teacher,Bachelor's Degree,Single,50000,Green,
male,44,182,88,Doctor,Doctorate Degree,Married,120000,Red,
female,35,168,64,Graphic Designer,Associate's Degree,Single,65000,Purple,
male,38,179,80,IT Manager,Bachelor's Degree,Married,90000,Orange,
female,30,164,58,Marketing Specialist,Bachelor's Degree,Single,55000,Black,
male,42,183,87,Lawyer,Master's Degree,Married,150000,Blue,
female,29,160,55,Nurse,Associate's Degree,Single,45000,Yellow,
male,36,175,76,Project Manager,Bachelor's Degree,Married,80000,Green,
female,31,166,60,Writer,Bachelor's Degree,Single,55000,Red,
male,41,184,85,Architect,Bachelor's Degree,Married,110000,Purple,
female,33,169,62,Accountant,Bachelor's Degree,Single,70000,Blue,
male,35,178,79,Business Analyst,Bachelor's Degree,Married,85000,Green,
female,28,162,55,Teacher,Bachelor's Degree,Single,50000,Orange,
male,40,183,86,CEO,Doctorate Degree,Married,250000,Black,
female,34,167,61,Marketing Specialist,Bachelor's Degree,Single,75000,Red,
male,37,180,82,Analyst,Bachelor's Degree,Married,70000,Yellow,
female,29,165,57,Doctor,Doctorate Degree,Single,120000,Green,
male,40,182,88,Engineer,Master's Degree,Married,100000,Blue,
female,31,168,61,Writer,Bachelor's Degree,Single,45000,Purple,
male,43,184,85,Lawyer,Master's Degree,Married,130000,Red,
female,32,170,64,Nurse,Associate's Degree,Single,60000,Orange,
male,38,176,79,Project Manager,Bachelor's Degree,Married,90000,Black,
female,27,162,55,Graphic Designer,Associate's Degree,Single,55000,Green,
male,33,175,77,Sales Representative,Bachelor's Degree,Married,80000,Yellow,
female,29,164,57,Software Developer,Bachelor's Degree,Single,65000,Blue,
